state,year,unemp,cpi,hpi,president,senate,house,cpi_US,unemp_US,exp,growth,MKT,SMB,HML,Rf,market,dem_share
AK,1/1/76,,,,,,,-0.018709535,2.9,,-0.002054561,21.91,14.58,24.28,5.08,0.3244,
AK,1/1/76,,,,,,,-0.018709535,2.9,,-0.002054561,21.91,14.58,24.28,5.08,0.3244,
AK,1/1/76,,,,,,,-0.018709535,2.9,,-0.002054561,21.91,14.58,24.28,5.08,0.3244,
AK,1/1/77,,,11.62755258,,,,-0.033665957,-0.8,,0.053881393,-8.26,22.6,7.5,5.12,0.2191,
AK,1/1/78,2.3,,9.187713311,,,,0.006964954,-0.6,,0.046241699,1.03,14.39,0.59,7.18,-0.0826,
AK,1/1/78,2.3,,9.187713311,,,0.155027951,0.006964954,-0.6,,0.046241699,1.03,14.39,0.59,7.18,-0.0826,0.155027951
AK,1/1/79,0.7,,6.63915979,,,,0.011591089,-1,,0.05535288,13.09,21.23,-2.48,10.38,0.0103,
AK,1/1/80,-1.5,,11.79505217,-0.092452291,,,0.036220815,-0.2,2.6,0.031661453,22.13,5.7,-24.63,11.24,0.1309,-0.092452291
AK,1/1/80,-1.5,,11.79505217,,0.218393253,,0.036220815,-0.2,2.6,0.031661453,22.13,5.7,-24.63,11.24,0.1309,0.218393253
AK,1/1/80,-1.5,,11.79505217,,,-0.18610009,0.036220815,-0.2,2.6,0.031661453,22.13,5.7,-24.63,11.24,0.1309,-0.18610009
AK,1/1/81,0.4,,-7.624541164,,,,0.022498299,1.3,-0.2,-0.002567497,-18.13,7.13,25.12,14.71,0.2213,
AK,1/1/82,-0.3,,26.38510445,,0,,-0.031234294,0.4,-2.1,0.025377193,10.66,8.7,13.36,10.54,-0.1813,0
AK,1/1/82,-0.3,,26.38510445,,,0.029022673,-0.031234294,0.4,-2.1,0.025377193,10.66,8.7,13.36,10.54,-0.1813,0.029022673
AK,1/1/83,0.9,,23.85914481,,,,-0.042199744,2.1,-2.7,-0.018028874,13.74,14.03,20.49,8.8,0.1066,
AK,1/1/84,0,,4.279083261,0.03459876,,,-0.02998839,-0.1,-1.3,0.04583928,-6.05,-8.2,19.07,9.85,0.1374,0.03459876
AK,1/1/84,0,,4.279083261,,-0.174488979,,-0.02998839,-0.1,-1.3,0.04583928,-6.05,-8.2,19.07,9.85,0.1374,-0.174488979
AK,1/1/84,0,,4.279083261,,,0.129623584,-0.02998839,-0.1,-1.3,0.04583928,-6.05,-8.2,19.07,9.85,0.1374,0.129623584
AK,1/1/85,-0.2,,5.786618445,,,,0.012086742,-2.1,0.3,0.072366181,24.91,0.58,1.37,7.72,-0.0605,
AK,1/1/86,-0.1,,-4.516765286,,0.156114824,,-0.008399809,-0.3,-0.4,0.041696562,10.12,-9.56,9.33,6.16,0.2491,0.156114824
AK,1/1/86,-0.1,,-4.516765286,,,-0.006070459,-0.008399809,-0.3,-0.4,0.041696562,10.12,-9.56,9.33,6.16,0.2491,-0.006070459
AK,1/1/87,1.3,,-2.107002685,,,,-0.015839966,-0.2,-0.3,0.03462646,-3.87,-10.85,-1.62,5.47,0.1012,
AK,1/1/88,-1,,-15.27045087,0.064031851,,,0.016339629,-0.8,0.3,0.03459252,11.55,5.76,14.37,6.35,-0.0387,0.064031851
AK,1/1/88,-1,,-15.27045087,,0,,0.016339629,-0.8,0.3,0.03459252,11.55,5.76,14.37,6.35,-0.0387,0
